槓鈴平板臥推,平躺於平板上，雙手握槓鈴，推起至完全伸直，慢慢放回胸口附近。,https://www.youtube.com/watch?v=SCVCLChPQFY,0:25-0:35
啞鈴平板臥推,平躺於平板上，握啞鈴推起，控制慢慢下放至胸部兩側。,https://www.youtube.com/watch?v=X3YrlBmjWrY,0:10-0:20
蝴蝶機夾胸,使用蝴蝶機，將雙手向中間靠攏，感受胸肌內側擠壓。,https://www.gymbeginner.hk/wp-content/uploads/2014/05/pe.jpg,照片
上斜啞鈴臥推,調整椅背角度，將啞鈴從肩部推起，專注於上胸肌收縮。,https://www.youtube.com/watch?v=iVh4B5bJ5OI,0:20-0:25
槓鈴下斜臥推,調整至下斜椅背，握槓鈴推起，集中刺激下胸肌。,https://www.youtube.com/watch?v=6yGZ0KCaiWM,0:10-0:20
標準伏地挺身,雙手與肩同寬撐地，身體直線，下放至胸部接近地面後推回。,https://www.youtube.com/watch?v=0pkjOk0EiAk,0:20-0:30
寬距伏地挺身,雙手寬於肩撐地，保持身體直線，下放後推回起始位置。,https://www.youtube.com/watch?v=EsIdzx1J0iA,0:28-0:35
上斜伏地挺身,雙手撐在高點（如桌子），身體直線，下放胸部至接近支撐面。,https://www.youtube.com/watch?v=AlwFXNHbUtk,0:03-0:10
下斜伏地挺身,雙腳置於高點，雙手撐地，下放胸部至接近地面後推回。,https://www.youtube.com/watch?v=oATxkonK6Ck,0:02-0:10
鑽石伏地挺身,雙手形成菱形撐地，下放胸部至接近地面後推回起始位置。,https://www.youtube.com/watch?v=XtU2VQVuLYs,0:01-0:05
